Date,Price_DailyMetal,Price_LME,Price_LME_3M,Price_LME_All_Location_Stock,Price_WUXI,Price_COMEX
2018-02-05,36.401,80379.0,80750.0,535.0,102.65,
2018-02-06,36.514,80800.0,80750.0,535.0,101.05,
2018-02-07,36.514,80799.0,80750.0,535.0,99.85,
2018-02-08,36.741,81298.0,81250.0,535.0,99.9,
2018-02-09,36.741,81292.0,81250.0,535.0,97.4,
2018-02-12,36.741,81280.5,81250.0,535.0,98.75,
2018-02-13,36.741,81264.0,81250.0,535.0,101.5,
2018-02-14,36.741,81013.0,81000.0,535.0,104.0,
2018-02-15,36.968,81511.5,81500.0,535.0,,
2018-02-16,36.968,81326.5,81500.0,535.0,104.65,
2018-02-19,36.287,81000.0,81250.0,535.0,102.75,
2018-02-20,35.834,79253.0,81250.0,525.0,103.45,
2018-02-21,36.061,79503.0,81250.0,499.0,102.55,
2018-02-22,36.968,80854.0,82500.0,499.0,103.65,
2018-02-23,36.741,80725.0,82500.0,499.0,103.65,
2018-02-26,36.741,81390.0,82750.0,519.0,104.35,
2018-02-27,36.514,80900.0,82250.0,519.0,104.25,
2018-02-28,36.628,81000.0,81000.0,519.0,103.7,
2018-03-01,36.628,81000.0,81000.0,538.0,102.05,
2018-03-02,35.834,79250.0,79250.0,546.0,101.45,
2018-03-05,36.401,80500.0,80500.0,546.0,100.95,
2018-03-06,37.535,83020.0,83250.0,546.0,102.75,
2018-03-07,37.648,83020.0,83250.0,546.0,101.8,
2018-03-08,38.102,84020.0,84250.0,545.0,100.0,
2018-03-09,38.102,84020.0,84250.0,537.0,102.05,
2018-03-12,38.102,84020.0,84250.0,537.0,103.25,
2018-03-13,38.329,84500.0,84750.0,537.0,103.2,
2018-03-14,38.555,85500.0,85750.0,562.0,102.8,
2018-03-15,39.349,87125.0,87750.0,562.0,101.35,
2018-03-16,39.916,88375.0,89000.0,562.0,101.5,
2018-03-19,39.916,88605.0,89250.0,562.0,100.8,
2018-03-20,40.823,89608.0,90250.0,562.0,101.5,
2018-03-21,43.091,94800.0,95250.0,538.0,100.8,
2018-03-22,42.864,94300.0,94750.0,538.0,98.65,
2018-03-23,42.751,94050.0,94500.0,538.0,97.55,
2018-03-26,42.524,94050.0,94500.0,538.0,96.25,
2018-03-27,42.524,93300.0,93750.0,538.0,96.7,
