Date,CODALY,COLMEX,COCOMX,COLMEAS,COSMMS
2024-05-30,12.315,26908.0,13.0,92.0,32000.0
2024-05-31,12.315,26908.0,13.0,92.0,32000.0
2024-06-02,12.3151,26894.2126,13.0,92.0,31981.7374
2024-06-03,12.315,26886.0,13.0,92.0,32000.0
2024-06-04,12.315,26881.0,13.0,92.0,32000.0
2024-06-05,12.315,26875.0,13.0,92.0,31800.0
2024-06-06,12.315,26870.0,13.0,92.0,31500.0
2024-06-07,12.315,26870.0,13.0,92.0,31250.0
2024-06-10,12.315,26848.5,13.0,92.0,31296.9282
2024-06-11,12.315,26843.0,13.0,92.0,31250.0
2024-06-12,12.315,26838.0,13.0,92.0,31050.0
2024-06-13,12.315,26832.0,12.0,92.0,30900.0
2024-06-14,12.315,26832.0,12.0,92.0,30900.0
2024-06-16,12.315,26817.6474,12.0715,92.0,30788.2223
2024-06-17,12.315,26810.0,12.0,92.0,30650.0
2024-06-18,12.315,26807.0,12.0,92.0,30500.0
2024-06-19,12.315,26804.0,12.0037,92.0,30400.0
2024-06-20,12.315,26804.0,12.0,92.0,30250.0
2024-06-21,12.315,26806.0,12.0,92.0,30250.0
2024-06-23,12.315,26793.559,12.0001,92.007,30122.528
2024-06-24,12.315,26786.0,12.0,92.0,30000.0
2024-06-25,12.315,26782.0,12.0,92.0,29900.0
2024-06-26,12.315,26778.0,12.0,92.0,29850.0
2024-06-27,12.315,26777.0,12.0,92.0,29750.0
2024-06-28,12.315,26778.5,12.0,92.0,29750.0
2024-06-30,12.315,26765.2872,12.1217,85.4036,29753.3357
2024-07-01,12.315,26759.0,12.0,92.0,29700.0
2024-07-02,12.315,26757.0,12.0,107.0,29600.0
2024-07-03,12.315,26752.0,13.0,107.0,29500.0
2024-07-04,12.315,26751.5,12.7115,107.0,29500.0
2024-07-05,12.315,26753.0,12.0,115.0,29500.0
2024-07-07,12.3336,26787.9938,13.0081,117.0541,29498.5392
2024-07-08,12.341,26797.6499,13.0,115.0,29500.0
2024-07-09,12.3372,26781.7374,12.0,115.0,29500.0
2024-07-10,12.315,26725.0,12.0,115.0,29500.0
2024-07-11,12.2702,26619.2458,12.0,115.0,29500.0
2024-07-12,12.2117,26484.5397,12.0,115.0,29500.0
2024-07-14,12.1029,26236.7877,12.0049,114.9978,29500.0015
2024-07-15,12.077,26178.0,12.0,115.0,29500.0
2024-07-16,12.077,26177.0,12.0,115.0,29500.0
2024-07-17,12.077,26177.0,12.0,115.0,29500.0
2024-07-18,12.077,26186.0,12.0,115.0,29500.0
2024-07-19,12.077,26190.0,12.0,115.0,29500.0
2024-07-21,12.077,26180.8465,12.0,115.0,29500.0314
2024-07-22,12.077,26177.0,12.0,115.0,29500.0
2024-07-23,12.077,26177.0,12.0,115.0,29500.0
2024-07-24,12.077,26177.0,12.0,115.0,29500.0
2024-07-25,12.077,26186.0,12.0,115.0,29500.0
2024-07-26,12.077,26190.0,12.0,115.0,29500.0
2024-07-28,12.0766,26184.8326,12.0,115.0,29470.2527
2024-07-29,12.077,26177.0,12.0,115.0,29500.0
2024-07-30,12.077,26177.0,12.0,115.0,29500.0
2024-07-31,12.077,26177.0,12.0,115.0,29250.0
2024-08-01,12.077,26061.0,12.0,115.0,29250.0
2024-08-02,12.02,26065.0,12.0,115.0,29250.0
2024-08-04,12.0049,26075.4661,11.9995,115.0,29283.7235
2024-08-05,12.02,26069.0,12.0,115.0,29250.0
2024-08-06,12.02,26073.0,12.0,115.0,29150.0
2024-08-07,12.02,26077.0,12.0,115.0,29100.0
2024-08-08,12.02,26090.0,12.0,115.0,29100.0
2024-08-09,12.02,26095.0,12.0,115.0,29100.0
2024-08-11,12.0185,26103.7146,12.4437,115.0,29093.1932
2024-08-12,12.02,26099.0,12.0,115.0,29100.0
2024-08-13,12.02,26104.0,11.0,115.0,29100.0
2024-08-14,12.02,26108.0,11.0,115.0,29050.0
2024-08-15,12.02,25622.0,11.0,115.0,29050.0
2024-08-16,11.793,24526.0,11.0,115.0,29000.0
2024-08-18,11.3748,24290.1845,11.0045,115.0,28985.8238
2024-08-19,11.294,24531.0,11.0,115.0,29000.0
2024-08-20,11.294,24536.0,11.0,115.0,29000.0
2024-08-21,11.294,24541.0,11.0,115.0,29000.0
2024-08-22,11.294,23963.0,11.0,115.0,29000.0
2024-08-23,11.022,23968.0,11.0,115.0,29000.0
2024-08-25,10.8712,24060.1055,11.0,115.0,28964.3165
2024-08-26,10.954,24012.8158,11.0,115.0,28950.0
2024-08-27,11.022,23973.5,11.0,115.0,28950.0
2024-08-28,11.022,23979.0,11.0,115.0,28950.0
2024-08-29,11.022,24000.5,11.0,115.0,28950.0
2024-08-30,11.022,24000.5,11.0,115.0,28950.0
2024-09-01,11.0218,24001.0523,11.0,115.0,28966.231
2024-09-02,11.022,24006.0,11.0,115.0,28950.0
2024-09-03,11.022,24011.0,11.0,115.0,28900.0
2024-09-04,11.022,24016.0,11.0,115.0,28850.0
2024-09-05,11.022,24032.0,11.0,115.0,28850.0
2024-09-06,11.022,24037.0,11.0,115.0,28850.0
2024-09-08,11.022,24038.2684,11.0,115.0,28835.772
2024-09-09,11.022,24042.0,11.0,115.0,28800.0
2024-09-10,11.022,24048.0,11.0,115.0,28750.0
2024-09-11,11.022,24053.0,11.0,115.0,28750.0
2024-09-12,11.022,24070.0,11.0,115.0,28750.0
2024-09-13,11.022,24075.5,11.0,115.0,28750.0
2024-09-16,11.022,24081.0,11.0,115.0,28779.3939
2024-09-17,11.022,24086.0,11.0,115.0,28774.9617
2024-09-18,11.022,24091.0,11.0,115.0,28750.0
2024-09-19,11.022,24107.0,11.0,115.0,28700.0
2024-09-20,11.022,24112.0,11.0,115.0,28650.0
2024-09-22,11.022,24113.3421,11.0,115.0,28685.064
2024-09-23,11.022,24117.0,11.0,115.0,28650.0
2024-09-24,11.022,24123.0,11.0,115.0,28550.0
2024-09-25,11.022,24128.5,11.0,115.0,28550.0
2024-09-26,11.022,24145.0,11.0,115.0,28500.0
2024-09-27,11.022,24150.5,11.0,115.0,28400.0
2024-09-29,11.022,24152.523,11.0,115.0,28371.03
2024-09-30,11.022,24156.0,11.0,115.0,28400.0
2024-10-01,11.022,24161.5,11.0,115.0,28414.9209
2024-10-02,11.022,24167.0,11.0,115.0,28414.2377
2024-10-03,11.022,24183.5,11.0,115.0,28403.6207
2024-10-04,11.022,24189.0,11.0,115.0,28388.7407
