Date,Price_Cobalt,Price_LME,Price_LME_3M,Price_LME_SPOT
2014-02-18,14.855,32734.0,32750.0,30845.0
2014-02-19,14.855,32734.0,32750.0,31146.0
2014-02-20,14.855,32734.0,32750.0,31000.0
2014-02-21,14.855,32734.0,32750.0,31400.0
2014-02-24,14.855,32734.0,32750.0,31147.0
2014-02-25,14.855,32734.0,32750.0,31392.0
2014-02-26,14.855,32734.0,32750.0,31143.0
2014-02-27,14.855,32734.0,32750.0,31147.0
2014-02-28,14.855,32734.0,32750.0,31297.0
2014-03-03,14.855,32734.0,32750.0,30890.0
2014-03-04,14.855,32734.0,32750.0,31140.0
2014-03-05,14.855,32734.0,32750.0,31130.0
2014-03-06,14.855,32734.0,32750.0,30885.0
2014-03-07,14.855,32734.0,32750.0,30587.0
2014-03-10,14.855,32734.0,32750.0,30794.0
2014-03-11,14.855,32734.0,32750.0,31029.0
2014-03-12,14.855,32734.0,32750.0,30378.0
2014-03-13,14.855,32734.0,32750.0,30375.0
2014-03-14,14.855,32734.0,32750.0,30875.0
2014-03-17,14.855,32734.0,32750.0,30370.0
2014-03-18,14.855,32734.0,32750.0,30372.0
2014-03-19,14.855,32734.0,32750.0,30870.0
2014-03-20,14.855,32734.0,32750.0,29875.0
2014-03-21,14.855,32734.0,32750.0,30877.0
2014-03-24,14.855,32734.0,32750.0,30373.0
2014-03-25,14.855,32734.0,32750.0,30373.0
2014-03-26,14.855,32734.0,32750.0,30372.0
2014-03-27,14.855,32734.0,32750.0,30374.0
2014-03-28,14.855,32734.0,32750.0,31376.0
2014-03-31,14.855,32734.0,32750.0,31373.0
2014-04-01,14.855,32734.0,32750.0,30573.0
2014-04-02,14.855,32734.0,32750.0,29873.0
2014-04-03,14.855,32734.0,32750.0,29876.0
2014-04-04,14.855,32734.0,32750.0,29872.0
2014-04-07,14.855,32734.0,32750.0,29624.0
2014-04-08,14.855,32734.0,32750.0,29374.0
