Date,PLIH5,PLIX5,diff,diff_ma5
2024-07-24,13.39,14.88,1.4900000000000002,1.5859999999999996
2024-07-25,13.39,14.92,1.5299999999999994,1.5699999999999996
2024-07-26,13.37,14.88,1.5100000000000016,1.518
2024-07-29,13.39,14.88,1.4900000000000002,1.4940000000000002
2024-07-30,13.39,14.85,1.459999999999999,1.496
2024-07-31,13.39,14.75,1.3599999999999994,1.47
2024-08-01,13.19,14.46,1.2700000000000014,1.4180000000000004
2024-08-02,13.19,14.41,1.2200000000000006,1.36
2024-08-05,13.19,14.41,1.2200000000000006,1.3060000000000003
2024-08-06,13.19,14.41,1.2200000000000006,1.2580000000000005
2024-08-07,13.19,14.41,1.2200000000000006,1.2300000000000009
2024-08-08,13.14,14.17,1.0299999999999994,1.1820000000000004
2024-08-09,13.14,14.03,0.8899999999999988,1.116
2024-08-12,13.14,13.93,0.7899999999999991,1.0299999999999998
2024-08-13,13.14,13.82,0.6799999999999997,0.9219999999999995
2024-08-14,13.14,13.82,0.6799999999999997,0.8139999999999994
2024-08-15,12.64,13.31,0.6699999999999999,0.7419999999999994
2024-08-16,12.64,13.2,0.5599999999999987,0.6759999999999995
2024-08-19,12.64,13.14,0.5,0.6179999999999997
2024-08-20,12.64,13.14,0.5,0.5819999999999996
2024-08-21,12.64,13.13,0.4900000000000002,0.5439999999999998
2024-08-22,12.64,13.26,0.6199999999999992,0.5339999999999996
2024-08-23,12.26,13.26,1.0,0.6219999999999999
2024-08-26,12.22,13.24,1.0199999999999996,0.7259999999999998
2024-08-27,12.36,13.28,0.9199999999999999,0.8099999999999998
2024-08-28,12.18,13.28,1.0999999999999996,0.9319999999999997
2024-08-29,12.29,13.31,1.0200000000000014,1.012
2024-08-30,12.4,13.31,0.9100000000000001,0.9940000000000001
2024-09-02,12.58,13.42,0.8399999999999999,0.9580000000000002
2024-09-03,12.58,13.42,0.8399999999999999,0.9420000000000002
2024-09-04,12.2,13.25,1.0500000000000007,0.9320000000000004
2024-09-05,11.98,13.07,1.0899999999999999,0.9460000000000001
2024-09-06,11.5,12.3,0.8000000000000007,0.9240000000000002
2024-09-09,11.35,11.9,0.5500000000000007,0.8660000000000003
2024-09-10,11.54,12.32,0.7800000000000011,0.8540000000000006
2024-09-11,11.88,12.68,0.7999999999999989,0.8040000000000003
2024-09-12,12.27,13.5,1.2300000000000004,0.8320000000000004
2024-09-13,12.11,13.14,1.0300000000000011,0.8780000000000004
2024-09-16,12.09,13.21,1.120000000000001,0.9920000000000005
2024-09-17,12.02,13.21,1.1900000000000013,1.0740000000000005
2024-09-18,11.94,13.21,1.2700000000000014,1.168000000000001
2024-09-19,12.11,13.21,1.1000000000000014,1.1420000000000012
2024-09-20,12.03,13.24,1.2100000000000009,1.1780000000000013
2024-09-23,11.94,13.24,1.3000000000000007,1.214000000000001
2024-09-24,11.94,12.96,1.0200000000000014,1.180000000000001
2024-09-25,12.13,13.03,0.8999999999999986,1.1060000000000005
2024-09-26,12.02,13.04,1.0199999999999996,1.0900000000000003
2024-09-27,12.06,13.06,1.0,1.048
2024-09-30,12.06,13.06,1.0,0.9879999999999999
2024-10-01,12.36,13.06,0.7000000000000011,0.9239999999999998
2024-10-02,12.33,13.25,0.9199999999999999,0.9280000000000002
2024-10-03,12.32,13.14,0.8200000000000003,0.8880000000000002
2024-10-04,12.26,13.18,0.9199999999999999,0.8720000000000002
2024-10-07,12.26,13.18,0.9199999999999999,0.8560000000000002
2024-10-08,12.28,13.18,0.9000000000000004,0.8960000000000001
2024-10-09,12.14,13.06,0.9199999999999999,0.8960000000000001
2024-10-10,11.94,12.84,0.9000000000000004,0.9120000000000001
2024-10-11,11.76,12.76,1.0,0.9280000000000002
2024-10-14,11.61,12.79,1.1799999999999997,0.9800000000000001
2024-10-15,11.59,12.69,1.0999999999999996,1.02
2024-10-16,11.58,12.69,1.1099999999999994,1.0579999999999998
2024-10-17,11.48,12.67,1.1899999999999995,1.1159999999999997
2024-10-18,11.35,12.61,1.2599999999999998,1.1679999999999997
2024-10-21,11.53,12.64,1.1100000000000012,1.154
2024-10-22,11.61,12.61,1.0,1.134
2024-10-23,11.67,12.61,0.9399999999999995,1.1
2024-10-24,11.7,12.64,0.9400000000000013,1.0500000000000003
2024-10-25,11.52,12.64,1.120000000000001,1.0220000000000007
2024-10-28,11.52,12.79,1.2699999999999996,1.0540000000000003
2024-10-29,11.48,12.86,1.379999999999999,1.1300000000000001
2024-10-30,11.42,12.88,1.4600000000000009,1.2340000000000004
2024-10-31,11.42,12.88,1.4600000000000009,1.3380000000000003
2024-11-01,11.16,12.94,1.7799999999999994,1.47
2024-11-04,11.22,12.71,1.4900000000000002,1.514
2024-11-05,11.1,12.85,1.75,1.5880000000000003
2024-11-06,11.13,12.81,1.6799999999999997,1.6320000000000001
2024-11-07,11.03,12.75,1.7200000000000006,1.684
2024-11-08,11.36,11.98,0.620000000000001,1.4520000000000004
