Date;Bid;Ask;;;;
7/5/21;18425;18430;;;;
7/2/21;18310;18330;;;;
7/1/21;18095;18120;;;;
6/30/21;18215;18235;;;;
6/29/21;18385;18395;;;;
6/28/21;18270;18290;;;;
6/25/21;18560;18575;;;;
6/24/21;18440;18455;;;;
6/23/21;18065;18080;;;;
6/22/21;17755;17770;;;;
6/21/21;17475;17490;;;;
6/18/21;17165;17190;;;;
6/17/21;17190;17215;;;;
6/16/21;17545;17570;;;;
6/15/21;17580;17590;;;;
6/14/21;18460;18475;;;;
6/11/21;18310;18345;;;;
6/10/21;18190;18200;;;;
6/9/21;18130;18135;;;;
6/8/21;17980;17990;;;;
6/7/21;17935;17960;;;;
6/4/21;17985;18005;;;;
6/3/21;17915;17925;;;;
6/2/21;18185;18215;;;;
6/1/21;18100;18120;;;;
5/28/21;18180;18195;;;;
5/27/21;18020;18035;;;;
5/26/21;17285;17310;;;;
5/25/21;17075;17090;;;;
5/24/21;17130;17165;;;;
5/21/21;16720;16740;;;;
5/20/21;17090;17100;;;;
5/19/21;17335;17360;;;;
5/18/21;18010;18035;;;;
5/17/21;17925;17940;;;;
5/14/21;17635;17655;;;;
5/13/21;17325;17345;;;;
5/12/21;17745;17795;;;;
5/11/21;17980;17995;;;;
5/10/21;17695;17735;;;;
5/7/21;18050;18070;;;;
5/6/21;17895;17905;;;;
5/5/21;17870;17890;;;;
5/4/21;17645;17655;;;;
4/30/21;17565;17605;;;;
4/29/21;17265;17290;;;;
4/28/21;17365;17395;;;;
4/27/21;16965;16980;;;;
4/26/21;16660;16680;;;;
4/23/21;16365;16385;;;;
4/22/21;15980;16005;;;;
4/21/21;16210;16230;;;;
4/20/21;15975;15995;;;;
4/19/21;16115;16140;;;;
4/16/21;16150;16175;;;;
4/15/21;16320;16345;;;;
4/14/21;16365;16375;;;;
4/13/21;16070;16080;;;;
4/12/21;16155;16175;;;;
4/9/21;16630;16650;;;;
4/8/21;16810;16830;;;;
4/7/21;16615;16645;;;;
4/6/21;16720;16745;;;;
4/1/21;16210;16230;;;;
3/31/21;16120;16135;;;;
3/30/21;15905;15915;;;;
3/29/21;16190;16215;;;;
3/26/21;16380;16405;;;;
3/25/21;16170;16175;;;;
3/24/21;16160;16175;;;;
3/23/21;16050;16060;;;;
3/22/21;16445;16455;;;;
3/19/21;16255;16270;;;;
3/18/21;16010;16015;;;;
3/17/21;16185;16225;;;;
3/16/21;16120;16125;;;;
3/15/21;16195;16205;;;;
3/12/21;15995;16010;;;;
3/11/21;16310;16330;;;;
3/10/21;16115;16130;;;;
3/9/21;16145;16170;;;;
3/8/21;16365;16380;;;;
3/5/21;16365;16380;;;;
3/4/21;15875;15895;;;;
3/3/21;17265;17280;;;;
3/2/21;18710;18725;;;;
3/1/21;18650;18670;;;;
2/26/21;18550;18575;;;;
2/25/21;18885;18900;;;;
2/24/21;19860;19865;;;;
2/23/21;19385;19390;;;;
2/22/21;19495;19530;;;;
2/19/21;19645;19655;;;;
2/18/21;19200;19205;;;;
2/17/21;18775;18780;;;;
2/16/21;18825;18845;;;;
2/15/21;18595;18600;;;;
2/12/21;18605;18615;;;;
2/11/21;18595;18630;;;;
2/10/21;18705;18720;;;;
2/9/21;18370;18395;;;;
2/8/21;18180;18185;;;;
2/5/21;18100;18105;;;;
2/4/21;17610;17630;;;;
2/3/21;17605;17620;;;;
2/2/21;17720;17730;;;;
2/1/21;17880;17895;;;;
1/29/21;17670;17680;;;;
1/28/21;17820;17840;;;;
1/27/21;17810;17820;;;;
1/26/21;18090;18100;;;;
1/25/21;18290;18300;;;;
1/22/21;18195;18205;;;;
1/21/21;18375;18390;;;;
1/20/21;18185;18205;;;;
1/19/21;18180;18190;;;;
1/18/21;18090;18115;;;;
1/15/21;18040;18045;;;;
1/14/21;18315;18325;;;;
1/13/21;17670;17690;;;;
1/12/21;17665;17680;;;;
1/11/21;17200;17205;;;;
1/8/21;17515;17535;;;;
1/7/21;18085;18095;;;;
1/6/21;17760;17790;;;;
1/5/21;17730;17735;;;;
1/4/21;17365;17375;;;;
12/31/20;16580;16595;;;;
12/30/20;16760;16770;;;;
12/29/20;16885;16890;;;;
12/24/20;16975;17090;;;;
12/23/20;16855;16895;;;;
12/22/20;16705;16715;;;;
12/21/20;17335;17350;;;;
12/18/20;17480;17505;;;;
12/17/20;17490;17495;;;;
12/16/20;17380;17385;;;;
12/15/20;17640;17650;;;;
12/14/20;17610;17650;;;;
12/11/20;17325;17340;;;;
12/10/20;17385;17400;;;;
12/9/20;16680;16710;;;;
12/8/20;16375;16390;;;;
12/7/20;16335;16345;;;;
12/4/20;16345;16365;;;;
12/3/20;15965;15975;;;;
12/2/20;15975;15990;;;;
12/1/20;16215;16230;;;;
11/30/20;16045;16060;;;;
11/27/20;16420;16425;;;;
11/26/20;16270;16290;;;;
11/25/20;16065;16095;;;;
11/24/20;16245;16255;;;;
11/23/20;16055;16070;;;;
11/20/20;16150;16165;;;;
11/19/20;15825;15850;;;;
11/18/20;15750;15755;;;;
11/17/20;15900;15905;;;;
11/16/20;15890;15905;;;;
11/13/20;15935;15950;;;;
11/12/20;15900;15910;;;;
11/11/20;16000;16005;;;;
11/10/20;15905;15910;;;;
11/4/20;15415;15425;;;;
10/30/20;15200;15220;;;;
10/29/20;15550;15555;;;;
10/28/20;15725;15730;;;;
10/26/20;15600;#N/A N/A;;;;
10/23/20;15600;15615;;;;
10/22/20;15785;15810;;;;
10/21/20;15895;15920;;;;
10/20/20;16050;16060;;;;
10/15/20;15405;15420;;;;
10/14/20;15520;15525;;;;
10/13/20;15030;15050;;;;
10/12/20;15190;#N/A N/A;;;;
10/8/20;14630;14655;;;;
10/6/20;14535;#N/A N/A;;;;
10/5/20;14550;14565;;;;
10/2/20;14305;14355;;;;
9/30/20;14485;14510;;;;
9/29/20;14445;14465;;;;
9/28/20;14495;14515;;;;
9/25/20;14380;14400;;;;
9/24/20;14360;14375;;;;
9/23/20;14395;14405;;;;
9/22/20;14565;14595;;;;
9/21/20;14545;14575;;;;
9/18/20;14845;14855;;;;
9/15/20;15235;#N/A N/A;;;;
9/11/20;15100;15120;;;;
9/9/20;14915;14940;;;;
9/8/20;14930;14950;;;;
9/7/20;15200;15210;;;;
9/4/20;15315;15330;;;;
9/1/20;15525;#N/A N/A;;;;
8/28/20;15320;15335;;;;
8/26/20;15185;15205;;;;
8/25/20;14990;15005;;;;
8/24/20;14905;#N/A N/A;;;;
8/21/20;14745;14770;;;;
8/19/20;14635;14645;;;;
8/17/20;14615;14630;;;;
8/13/20;14035;14045;;;;
8/12/20;14225;14240;;;;
8/10/20;14215;14235;;;;
8/7/20;14345;14365;;;;
8/6/20;14445;14455;;;;
8/5/20;14270;14290;;;;
8/4/20;13985;14005;;;;
8/3/20;13945;13965;;;;
7/31/20;13750;13775;;;;
7/30/20;13785;13805;;;;
7/29/20;13900;13920;;;;
7/27/20;13790;13795;;;;
7/24/20;13610;13635;;;;
7/23/20;13680;13690;;;;
7/22/20;13075;13080;;;;
7/21/20;13455;13465;;;;
7/20/20;13180;13200;;;;
7/17/20;13110;13130;;;;
7/16/20;13385;13400;;;;
7/13/20;13715;13725;;;;
7/10/20;13540;13560;;;;
7/9/20;13200;13205;;;;
7/7/20;13390;13405;;;;
7/6/20;13390;13400;;;;
7/3/20;12965;12975;;;;
7/2/20;12920;12940;;;;
7/1/20;12850;12865;;;;
6/30/20;12790;12805;;;;
6/29/20;12770;12795;;;;
6/26/20;12660;12675;;;;
6/25/20;12470;12485;;;;
6/23/20;12685;12700;;;;
6/22/20;12620;12635;;;;
6/18/20;12895;12905;;;;
6/17/20;12830;12845;;;;
6/15/20;12825;12850;;;;
6/12/20;12690;12725;;;;
6/10/20;12995;13010;;;;
6/8/20;13060;13070;;;;
6/5/20;12915;12940;;;;
6/4/20;12800;12810;;;;
6/3/20;12785;12800;;;;
6/2/20;12865;12875;;;;
6/1/20;12575;12595;;;;
5/28/20;12235;12245;;;;
5/27/20;12135;12155;;;;
5/26/20;12335;12355;;;;
5/22/20;12250;12280;;;;
5/19/20;12465;12475;;;;
5/18/20;12255;12265;;;;
5/15/20;11820;11830;;;;
5/13/20;12240;12255;;;;
5/12/20;12275;12285;;;;
5/7/20;12275;12295;;;;
5/6/20;12310;12340;;;;
5/5/20;12020;12040;;;;
5/1/20;11915;11945;;;;
4/30/20;12130;12135;;;;
4/29/20;12300;12310;;;;
4/28/20;12325;12330;;;;
4/27/20;12225;12235;;;;
4/23/20;12170;12185;;;;
4/22/20;11940;11955;;;;
4/21/20;12160;#N/A N/A;;;;
4/20/20;12470;12495;;;;
4/17/20;12060;12070;;;;
4/16/20;11755;11760;;;;
4/15/20;11770;11775;;;;
4/14/20;11900;11905;;;;
4/9/20;11690;11700;;;;
4/8/20;11505;11510;;;;
4/7/20;11425;11455;;;;
4/3/20;11200;11230;;;;
4/2/20;11285;11300;;;;
4/1/20;11245;11260;;;;
3/31/20;11465;11475;;;;
3/30/20;11315;11320;;;;
3/27/20;11410;11420;;;;
3/26/20;11215;11225;;;;
3/24/20;11280;11285;;;;
3/23/20;10925;10935;;;;
3/20/20;11330;11335;;;;
3/19/20;11300;11305;;;;
3/18/20;11380;11385;;;;
3/17/20;11910;11915;;;;
3/16/20;11995;12010;;;;
3/13/20;12300;12315;;;;
3/12/20;11880;11885;;;;
3/11/20;12445;12450;;;;
3/10/20;12730;12735;;;;
