Date;PX_ASK;PX_BID
06.01.2023;49560;49060
05.01.2023;50015;49515
04.01.2023;50000;49500
03.01.2023;50000;51000
30.12.2022;51515;51015
29.12.2022;51515;51015
28.12.2022;51495;50995
23.12.2022;51510;51010
22.12.2022;51510;51010
21.12.2022;51485;50985
20.12.2022;51485;50985
19.12.2022;51480;50980
16.12.2022;51495;50995
15.12.2022;51495;50995
14.12.2022;51485;50985
13.12.2022;51485;50985
12.12.2022;51480;50980
09.12.2022;51500;51000
08.12.2022;51500;51000
07.12.2022;51495;50995
06.12.2022;51495;50995
05.12.2022;51490;50990
02.12.2022;51505;51005
01.12.2022;51505;51005
30.11.2022;51500;51000
29.11.2022;51495;50995
28.11.2022;51490;50990
25.11.2022;51505;51005
24.11.2022;51500;51000
23.11.2022;51495;50995
22.11.2022;51500;51000
21.11.2022;51495;50995
18.11.2022;51515;51015
17.11.2022;51510;51010
16.11.2022;51500;51000
15.11.2022;51500;51000
14.11.2022;51505;51005
11.11.2022;51520;51020
10.11.2022;51515;51015
09.11.2022;51520;51020
08.11.2022;51505;51005
07.11.2022;51505;51005
04.11.2022;51520;51020
03.11.2022;51515;51015
02.11.2022;51505;51005
01.11.2022;51505;51005
31.10.2022;51505;51005
28.10.2022;51520;51020
27.10.2022;51515;51015
26.10.2022;51505;51005
25.10.2022;51505;51005
24.10.2022;51505;51005
21.10.2022;51520;51020
20.10.2022;51515;51015
19.10.2022;51505;51005
18.10.2022;51505;51005
17.10.2022;51505;51005
14.10.2022;51520;51020
13.10.2022;51515;51015
12.10.2022;59000;51005
11.10.2022;51505;51005
10.10.2022;51505;51005
07.10.2022;51520;51020
06.10.2022;51520;51020
05.10.2022;51505;51005
04.10.2022;51505;51005
03.10.2022;51505;51005
30.09.2022;51520;51020
29.09.2022;59000;51020
28.09.2022;51510;51010
27.09.2022;51505;51005
26.09.2022;51500;51000
23.09.2022;51520;51020
22.09.2022;51520;51020
21.09.2022;59000;51010
20.09.2022;59000;51010
19.09.2022;51510;51010
16.09.2022;59000;51020
15.09.2022;51525;51025
14.09.2022;51515;51015
13.09.2022;51515;51015
12.09.2022;51515;51015
09.09.2022;51520;51020
08.09.2022;51520;51020
07.09.2022;51510;51010
06.09.2022;51510;51010
05.09.2022;51510;51010
02.09.2022;51520;51020
01.09.2022;51525;51025
31.08.2022;51510;51010
30.08.2022;51505;51005
26.08.2022;51520;51020
25.08.2022;51520;51020
24.08.2022;51500;51000
23.08.2022;49005;48505
22.08.2022;49005;48505
19.08.2022;49015;48515
18.08.2022;49010;48510
17.08.2022;49000;48500
16.08.2022;46500;46000
