Date;Close Price;;;;;
12/13/18;55000;;;;;
12/12/18;55000;;;;;
12/11/18;55000;;;;;
12/10/18;55000;;;;;
12/7/18;55000;;;;;
12/6/18;55000;;;;;
12/5/18;55000;;;;;
12/4/18;55000;;;;;
12/3/18;55000;;;;;
11/30/18;55000;;;;;
11/29/18;55000;;;;;
11/28/18;55000;;;;;
11/27/18;55000;;;;;
11/26/18;55000;;;;;
11/23/18;55000;;;;;
11/22/18;55000;;;;;
11/21/18;55000;;;;;
11/20/18;55000;;;;;
11/19/18;55000;;;;;
11/16/18;55000;;;;;
11/15/18;55000;;;;;
11/14/18;55000;;;;;
11/13/18;55000;;;;;
11/12/18;55000;;;;;
11/9/18;51000;;;;;
11/8/18;55000;;;;;
11/7/18;55000;;;;;
11/6/18;54505,5;;;;;
11/5/18;52500;;;;;
11/2/18;58085;;;;;
11/1/18;58094;;;;;
10/31/18;59853;;;;;
10/30/18;59611;;;;;
10/29/18;59619;;;;;
10/26/18;60377,5;;;;;
10/25/18;60386;;;;;
10/24/18;60394;;;;;
10/23/18;60402;;;;;
10/22/18;60410;;;;;
10/19/18;60418;;;;;
10/18/18;61176;;;;;
10/17/18;62184;;;;;
10/16/18;62192;;;;;
10/15/18;62200;;;;;
10/12/18;62208,5;;;;;
10/11/18;62217;;;;;
10/10/18;62225,5;;;;;
10/9/18;62234;;;;;
10/8/18;62492;;;;;
10/5/18;56750;;;;;
10/4/18;61660,5;;;;;
10/3/18;54890,5;;;;;
10/2/18;62635,5;;;;;
10/1/18;57880;;;;;
9/28/18;61874;;;;;
9/27/18;61869;;;;;
9/26/18;61854;;;;;
9/25/18;61849;;;;;
9/24/18;61844;;;;;
9/21/18;61839;;;;;
9/20/18;59583;;;;;
9/19/18;62567;;;;;
9/18/18;62561,5;;;;;
9/17/18;62556;;;;;
9/14/18;62556;;;;;
9/13/18;62556;;;;;
9/12/18;62806;;;;;
9/11/18;61556;;;;;
9/10/18;61556;;;;;
9/7/18;61556;;;;;
9/6/18;62306;;;;;
9/5/18;62306;;;;;
9/4/18;64306;;;;;
9/3/18;64306;;;;;
8/31/18;64306;;;;;
8/30/18;65056;;;;;
8/29/18;65056;;;;;
8/28/18;63806;;;;;
8/24/18;63806;;;;;
8/23/18;63806;;;;;
8/22/18;63806;;;;;
8/21/18;63806;;;;;
8/20/18;63814;;;;;
8/17/18;63847;;;;;
8/16/18;63847;;;;;
8/15/18;63855;;;;;
8/14/18;63864;;;;;
8/13/18;63872;;;;;
8/10/18;61650;;;;;
8/9/18;61750;;;;;
8/8/18;61500;;;;;
8/7/18;55151,5;;;;;
8/6/18;58743;;;;;
8/3/18;64284;;;;;
8/2/18;66025;;;;;
8/1/18;67000;;;;;
7/31/18;69000;;;;;
7/30/18;69750;;;;;
7/27/18;69750;;;;;
7/26/18;69750;;;;;
7/25/18;69750;;;;;
7/24/18;69750;;;;;
7/23/18;69750;;;;;
7/20/18;69750;;;;;
7/19/18;69750;;;;;
7/18/18;69750;;;;;
7/17/18;69750;;;;;
7/16/18;67750;;;;;
7/13/18;70250;;;;;
7/12/18;70250;;;;;
7/11/18;70250;;;;;
7/10/18;69750;;;;;
7/9/18;73000;;;;;
7/6/18;73000;;;;;
7/5/18;72250;;;;;
7/4/18;71750;;;;;
7/3/18;74750;;;;;
7/2/18;74750;;;;;
6/29/18;77550;;;;;
6/28/18;77250;;;;;
6/27/18;78750;;;;;
6/26/18;77250;;;;;
6/25/18;78750;;;;;
6/22/18;79150;;;;;
6/21/18;80000;;;;;
6/20/18;80250;;;;;
6/19/18;80000;;;;;
6/18/18;80000;;;;;
6/15/18;79750;;;;;
6/14/18;81250;;;;;
6/13/18;81000;;;;;
6/12/18;80750;;;;;
6/11/18;82250;;;;;
6/8/18;82750;;;;;
6/7/18;82000;;;;;
6/6/18;83750;;;;;
6/5/18;86750;;;;;
6/4/18;87750;;;;;
6/1/18;88000;;;;;
5/31/18;90000;;;;;
5/30/18;90500;;;;;
5/29/18;90500;;;;;
5/25/18;90750;;;;;
5/24/18;90750;;;;;
5/23/18;92250;;;;;
5/22/18;92500;;;;;
5/21/18;92000;;;;;
5/18/18;90750;;;;;
5/17/18;90750;;;;;
5/16/18;90750;;;;;
5/15/18;90750;;;;;
5/14/18;91000;;;;;
5/11/18;90500;;;;;
5/10/18;89000;;;;;
5/9/18;88500;;;;;
5/8/18;88500;;;;;
5/4/18;88500;;;;;
5/3/18;88500;;;;;
5/2/18;90000;;;;;
5/1/18;88500;;;;;
4/30/18;88500;;;;;
4/27/18;88500;;;;;
4/26/18;88500;;;;;
4/25/18;88500;;;;;
4/24/18;91250;;;;;
4/23/18;91250;;;;;
4/20/18;91250;;;;;
4/19/18;91250;;;;;
4/18/18;91250;;;;;
4/17/18;92000;;;;;
4/16/18;91250;;;;;
4/13/18;92000;;;;;
4/12/18;92000;;;;;
4/11/18;91250;;;;;
4/10/18;91250;;;;;
4/9/18;91250;;;;;
4/6/18;91250;;;;;
4/5/18;91050;;;;;
4/4/18;89050;;;;;
4/3/18;93050;;;;;
3/29/18;93550;;;;;
3/28/18;93300;;;;;
3/27/18;93300;;;;;
3/26/18;94050;;;;;
3/23/18;94050;;;;;
3/22/18;94300;;;;;
3/21/18;94800;;;;;
3/20/18;89608;;;;;
3/19/18;88605;;;;;
3/16/18;88375;;;;;
3/15/18;87125;;;;;
3/14/18;85500;;;;;
3/13/18;84500;;;;;
3/12/18;84020;;;;;
3/9/18;84020;;;;;
3/8/18;84020;;;;;
3/7/18;83020;;;;;
3/6/18;83020;;;;;
3/5/18;80500;;;;;
3/2/18;79250;;;;;
3/1/18;81000;;;;;
2/28/18;81000;;;;;
2/27/18;80900;;;;;
2/26/18;81390;;;;;
2/23/18;80725;;;;;
2/22/18;80854;;;;;
2/21/18;79503;;;;;
2/20/18;79253;;;;;
2/19/18;81000;;;;;
2/16/18;81326,5;;;;;
2/15/18;81511,5;;;;;
2/14/18;81013;;;;;
2/13/18;81264;;;;;
2/12/18;81280,5;;;;;
2/9/18;81292;;;;;
2/8/18;81298;;;;;
2/7/18;80799;;;;;
2/6/18;80800;;;;;
2/5/18;80379;;;;;
2/2/18;80382;;;;;
2/1/18;79881,5;;;;;
1/31/18;79872;;;;;
1/30/18;79867,5;;;;;
1/29/18;79613;;;;;
1/26/18;79623;;;;;
1/25/18;79372,5;;;;;
1/24/18;79363;;;;;
1/23/18;79362;;;;;
1/22/18;79358;;;;;
1/19/18;79369,5;;;;;
1/18/18;76869;;;;;
1/17/18;76860;;;;;
1/16/18;76860;;;;;
1/15/18;77861;;;;;
1/12/18;74947;;;;;
1/11/18;75092;;;;;
1/10/18;75098;;;;;
1/9/18;75160;;;;;
1/8/18;75160;;;;;
1/5/18;75170;;;;;
1/4/18;75170;;;;;
1/3/18;75205;;;;;
1/2/18;75205;;;;;
12/29/17;75205;;;;;
12/28/17;75205;;;;;
12/27/17;75205;;;;;
12/22/17;75205;;;;;
12/21/17;75205;;;;;
12/20/17;74705;;;;;
12/19/17;74205;;;;;
12/18/17;72205;;;;;
