Date,XLIX5,XLIJ5,diff,diff_ma5
2024-09-20,13.24,12.34,0.9000000000000004,0.8340000000000007
2024-09-23,12.96,12.39,0.5700000000000003,0.8020000000000007
2024-09-24,13.03,12.43,0.5999999999999996,0.7580000000000006
2024-09-25,13.04,12.47,0.5699999999999985,0.704
2024-09-26,13.06,12.54,0.5200000000000014,0.632
2024-09-27,13.06,12.58,0.4800000000000004,0.548
2024-09-30,13.06,12.65,0.41000000000000014,0.516
2024-10-01,13.25,12.55,0.6999999999999993,0.5359999999999999
2024-10-02,13.14,12.67,0.47000000000000064,0.5160000000000003
2024-10-03,13.18,12.67,0.5099999999999998,0.514
2024-10-04,13.18,12.64,0.5399999999999991,0.5259999999999998
2024-10-07,13.18,12.62,0.5600000000000005,0.5559999999999998
2024-10-08,13.06,12.68,0.3800000000000008,0.49200000000000016
2024-10-09,12.84,12.6,0.2400000000000002,0.44600000000000006
2024-10-10,12.76,12.35,0.41000000000000014,0.42600000000000016
2024-10-11,12.79,12.24,0.5499999999999989,0.4280000000000001
2024-10-14,12.69,12.13,0.5599999999999987,0.42799999999999977
2024-10-15,12.69,12.16,0.5299999999999994,0.45799999999999946
2024-10-16,12.67,12.17,0.5,0.5099999999999995
2024-10-17,12.61,12.09,0.5199999999999996,0.5319999999999994
2024-10-18,12.64,12.01,0.6300000000000008,0.5479999999999997
2024-10-21,12.61,12.04,0.5700000000000003,0.55
2024-10-22,12.61,12.0,0.6099999999999994,0.5660000000000001
2024-10-23,12.64,11.89,0.75,0.616
2024-10-24,12.64,11.97,0.6699999999999999,0.6460000000000001
2024-10-25,12.79,11.97,0.8199999999999985,0.6839999999999996
2024-10-28,12.86,12.04,0.8200000000000003,0.7339999999999997
2024-10-29,12.88,12.04,0.8400000000000016,0.78
2024-10-30,12.88,12.04,0.8400000000000016,0.7980000000000004
2024-10-31,12.94,12.04,0.9000000000000004,0.8440000000000005
2024-11-01,12.71,11.87,0.8400000000000016,0.8480000000000011
2024-11-04,12.85,11.61,1.2400000000000002,0.932000000000001
2024-11-05,12.81,11.77,1.040000000000001,0.972000000000001
2024-11-06,12.75,11.77,0.9800000000000004,1.0000000000000007
2024-11-07,11.98,11.65,0.33000000000000007,0.8860000000000007
2024-11-08,12.73,11.53,1.200000000000001,0.9580000000000005
2024-11-11,12.58,11.47,1.1099999999999994,0.9320000000000004
2024-11-12,12.69,11.56,1.129999999999999,0.95
2024-11-13,12.74,11.47,1.2699999999999996,1.0079999999999998
2024-11-14,12.72,11.94,0.7800000000000011,1.098
2024-11-15,12.71,11.76,0.9500000000000011,1.048
2024-11-18,12.71,11.53,1.1800000000000015,1.0620000000000005
2024-11-19,12.71,11.61,1.1000000000000014,1.056000000000001
2024-11-20,12.73,11.76,0.9700000000000006,0.9960000000000011
2024-11-21,12.77,11.64,1.129999999999999,1.0660000000000007
2024-11-22,12.77,11.7,1.0700000000000003,1.0900000000000005
2024-11-25,12.78,11.62,1.1600000000000001,1.0860000000000003
2024-11-26,12.77,11.66,1.1099999999999994,1.0879999999999999
2024-11-27,12.77,11.62,1.1500000000000004,1.1239999999999999
2024-11-28,12.77,11.6,1.17,1.1320000000000001
2024-11-29,12.74,11.6,1.1400000000000006,1.1460000000000001
2024-12-02,12.74,11.31,1.4299999999999997,1.2
2024-12-03,12.73,11.11,1.620000000000001,1.3020000000000003
2024-12-04,13.05,11.11,1.9400000000000013,1.4600000000000004
2024-12-05,13.05,11.42,1.6300000000000008,1.5520000000000007
2024-12-06,12.9,11.37,1.5300000000000011,1.6300000000000008
2024-12-09,12.92,11.38,1.5399999999999991,1.6520000000000006
2024-12-10,12.92,11.46,1.459999999999999,1.6200000000000003
2024-12-11,12.86,11.46,1.3999999999999986,1.5119999999999998
2024-12-12,12.94,11.42,1.5199999999999996,1.4899999999999995
2024-12-13,12.9,11.55,1.3499999999999996,1.4539999999999993
2024-12-16,12.97,11.44,1.5300000000000011,1.4519999999999995
2024-12-17,12.8,11.44,1.3600000000000012,1.432
2024-12-18,12.7,11.55,1.1499999999999986,1.3820000000000001
2024-12-19,12.73,11.6,1.1300000000000008,1.3040000000000003
2024-12-20,12.73,11.62,1.1100000000000012,1.2560000000000007
2024-12-23,12.75,11.59,1.1600000000000001,1.1820000000000004
2024-12-24,12.74,11.63,1.1099999999999994,1.1320000000000001
2024-12-26,12.74,11.48,1.2599999999999998,1.1540000000000004
2024-12-27,12.74,11.48,1.2599999999999998,1.1800000000000002
2024-12-30,12.74,11.67,1.0700000000000003,1.172
