Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
29-May-2023;65 170;+1 050;+2%;64 920;64 740;65 520;32 396;65 380;65 420
26-May-2023;64 120;+580;+1%;64 010;63 650;64 820;44 790;64 810;64 820
25-May-2023;63 540;-620;-1%;63 900;63 010;64 080;76 587;63 740;63 750
24-May-2023;64 160;-730;-1%;64 400;63 870;64 700;64 668;64 080;64 120
23-May-2023;64 890;-420;-1%;64 910;64 420;65 360;59 156;64 460;64 480
22-May-2023;65 310;-50;-0%;66 040;64 780;66 180;75 484;65 060;65 090
19-May-2023;65 360;-240;-0%;65 360;65 030;65 720;89 451;65 680;65 700
18-May-2023;65 600;+1 260;+2%;65 020;65 020;65 970;115 845;65 770;65 780
17-May-2023;64 340;-460;-1%;63 990;63 990;64 660;107 444;64 550;64 560
16-May-2023;64 800;-10;-0%;65 280;64 210;65 360;110 036;64 360;64 370
15-May-2023;64 810;+240;+0%;64 760;64 550;65 300;3 380;64 180;65 470
12-May-2023;64 570;-1 980;-3%;65 160;64 200;65 160;11 170;64 650;64 800
11-May-2023;66 550;-780;-1%;67 230;65 370;67 230;20 810;65 420;65 590
10-May-2023;67 330;-90;-0%;67 190;67 150;67 570;19 730;67 270;67 300
09-May-2023;67 420;+240;+0%;67 670;67 120;67 810;19 620;67 150;67 190
08-May-2023;67 180;+470;+1%;66 660;66 590;67 550;21 485;67 550;67 580
05-May-2023;66 710;-430;-1%;66 890;66 370;67 180;25 055;66 920;67 100
