Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2018-08-16,47730.0,-950,-2%,48 250,47 210,48 320,68 925,47 570,47 630
2018-08-17,47870.0,+140,+0%,47 720,47 560,48 150,51 039,47 750,47 800
2018-08-20,48200.0,+330,+1%,47 860,47 850,48 440,45 859,48 320,48 340
2018-08-21,48510.0,+310,+1%,48 330,48 330,48 770,33 329,48 710,48 730
2018-08-22,48560.0,+50,+0%,48 710,48 160,48 920,31 879,48 280,48 300
2018-08-23,48190.0,-370,-1%,48 550,47 940,48 550,32 368,47 930,47 950
2018-08-24,48410.0,+220,+0%,48 040,48 040,48 700,28 184,48 500,48 510
2018-08-27,48750.0,+340,+1%,48 650,48 530,48 840,24 127,48 780,48 800
2018-08-28,48570.0,-180,-0%,48 820,48 440,48 900,23 617,48 680,48 690
2018-08-29,48930.0,+360,+1%,48 820,48 770,49 100,23 523,48 820,48 850
2018-08-30,48710.0,-220,-0%,48 840,48 610,48 930,18 387,48 780,48 790
2018-08-31,48580.0,-130,-0%,48 780,48 340,48 850,22 285,48 570,48 660
2018-09-03,48170.0,-410,-1%,48 560,47 950,48 610,16 445,48 210,48 250
2018-09-04,48030.0,-140,-0%,48 210,47 830,48 240,13 240,47 830,47 870
2018-09-05,47420.0,-610,-1%,47 560,47 200,47 650,15 370,47 600,47 610
2018-09-06,47740.0,+320,+1%,47 600,47 570,47 870,10 915,47 650,47 750
2018-09-07,47820.0,+80,+0%,47 930,47 610,48 150,11 315,47 750,47 760
2018-09-10,47760.0,-60,-0%,47 840,47 640,48 050,17 885,47 630,47 660
2018-09-11,47930.0,+170,+0%,47 850,47 740,48 130,14 840,48 100,48 130
2018-09-12,47860.0,-70,-0%,47 520,47 450,48 040,12 895,47 910,48 000
2018-09-13,48620.0,+760,+2%,48 100,47 940,48 870,8 905,48 820,48 870
2018-09-14,48770.0,+150,+0%,48 870,48 690,49 060,5 020,48 680,48 710
2018-09-17,48380.0,-390,-1%,48 620,48 230,48 740,3 315,48 000,48 900
2018-09-18,48620.0,+240,+0%,48 160,48 140,48 990,53 195,48 880,48 890
2018-09-19,49660.0,+1 040,+2%,49 500,49 360,49 850,55 377,49 790,49 810
2018-09-20,49630.0,-30,-0%,49 770,49 430,49 770,33 344,49 540,49 550
2018-09-21,49880.0,+250,+1%,49 570,49 340,50 250,41 774,50 040,50 060
2018-09-25,50410.0,+530,+1%,50 790,50 280,50 790,37 725,50 570,50 580
2018-09-26,50700.0,+290,+1%,50 990,50 550,50 990,37 277,50 650,50 660
