date,ATKLICAR,ATKLIOH,INOLIRLCAIGRCND,INOLIRLHYBGRCND,SLICFc1,SLIHFc1,SMM-LIB-GRD,SMM-LICB-BG,TLCc1
2022-11-04,,,57.0,56.5,77.25,76.5,,,
2022-11-07,570000.0,563500.0,57.5,57.0,77.5,81.0,,,
2022-11-08,570000.0,563500.0,57.5,57.0,77.5,81.0,,,
2022-11-09,570000.0,563500.0,58.0,57.5,77.89,81.0,,,
2022-11-10,570000.0,563500.0,58.0,57.5,77.89,81.0,,,
2022-11-11,570000.0,563500.0,58.2,57.7,77.89,81.0,,,
2022-11-14,570000.0,563500.0,58.2,57.7,77.5,81.32,,,
2022-11-15,570000.0,563500.0,58.2,57.7,77.5,81.46,,,
2022-11-16,570000.0,563500.0,58.2,57.7,77.5,81.46,,,
2022-11-17,570000.0,563500.0,58.0,57.7,77.5,81.46,,,
2022-11-18,570000.0,563500.0,58.0,57.5,77.5,81.46,,,
2022-11-21,570000.0,563500.0,57.7,57.5,77.5,81.46,,,
2022-11-22,570000.0,563500.0,57.7,57.5,77.5,81.46,,,
2022-11-23,570000.0,563500.0,57.5,57.5,77.5,81.54,,,
2022-11-24,568000.0,563500.0,57.3,57.5,77.5,81.54,,,
2022-11-25,568000.0,563500.0,57.3,57.5,77.5,81.54,,,
2022-11-28,568000.0,563500.0,57.0,57.5,77.5,81.54,,,
2022-11-29,568000.0,563500.0,57.0,57.4,77.5,81.54,,,
2022-11-30,568000.0,563500.0,56.8,57.1,80.82,84.09,,,
2022-12-01,567500.0,558500.0,56.3,57.1,76.63,79.75,,,
2022-12-02,567500.0,558500.0,56.1,57.1,78.87,82.0,,,
2022-12-05,566000.0,558500.0,55.0,56.5,78.0,82.0,,,
2022-12-06,566000.0,558500.0,54.5,56.3,78.0,82.0,,,
2022-12-07,566000.0,558500.0,54.0,56.3,78.0,82.0,,,
2022-12-08,565000.0,550000.0,53.5,56.3,78.0,82.0,,,
2022-12-09,565000.0,550000.0,53.3,56.1,78.0,82.0,,,
2022-12-12,563000.0,550000.0,53.0,56.1,78.0,82.0,,,
2022-12-13,563000.0,550000.0,53.0,56.1,78.0,82.0,,,
2022-12-14,563000.0,550000.0,53.0,56.1,78.0,82.0,,,
2022-12-15,558000.0,549000.0,52.8,56.1,78.0,82.0,,,
2022-12-16,558000.0,549000.0,52.5,56.1,79.5,83.5,,,
2022-12-19,554000.0,549000.0,52.3,55.7,79.5,83.5,,,
2022-12-20,554000.0,549000.0,52.1,55.5,79.5,83.5,,,
2022-12-21,554000.0,549000.0,52.0,55.3,79.5,83.5,,,
2022-12-22,550000.0,548000.0,51.7,55.0,79.5,83.5,,,
2022-12-23,550000.0,548000.0,51.6,54.75,79.26,83.26,,,
2022-12-26,530000.0,544000.0,51.0,54.25,,,,,
2022-12-27,530000.0,544000.0,50.0,53.5,79.26,83.26,,,
2022-12-28,530000.0,544000.0,49.75,53.5,79.26,83.28,,,
2022-12-29,514000.0,531000.0,49.5,53.5,79.31,83.31,,,
2022-12-30,514000.0,531000.0,49.25,53.25,,,,,
2023-01-02,,,49.25,53.25,,,,,
2023-01-03,510000.0,527500.0,48.75,52.5,78.75,82.37,,,
2023-01-04,510000.0,527500.0,48.25,52.0,78.75,82.37,,,
2023-01-05,501000.0,510000.0,48.0,52.0,78.75,82.37,,,
2023-01-06,501000.0,510000.0,47.8,51.8,78.75,82.37,,,
2023-01-09,481000.0,492500.0,47.3,,78.0,81.09,,,
2023-01-10,481000.0,492500.0,47.3,51.3,78.0,81.09,,,
2023-01-11,481000.0,492500.0,47.0,50.8,78.0,81.09,,,
2023-01-12,481000.0,492500.0,47.0,50.3,78.0,81.09,,,
2023-01-13,481000.0,492500.0,47.0,50.3,78.33,81.12,,,
2023-01-16,480000.0,490000.0,47.0,49.5,78.33,81.12,,,
2023-01-17,480000.0,490000.0,46.5,49.2,77.5,80.59,,,
2023-01-18,480000.0,490000.0,46.2,49.1,77.5,80.59,,,
2023-01-19,,,46.0,48.95,77.5,80.59,,,
2023-01-20,,,46.0,48.95,77.5,80.59,,,
2023-01-23,,,46.0,48.95,77.5,80.59,,,
2023-01-24,,,,,77.5,80.59,,,
2023-01-25,,,,,77.5,80.59,,,
2023-01-26,,,,,77.5,80.59,,,
2023-01-27,,,,,77.5,80.59,,,
2023-01-30,467500.0,477500.0,46.0,48.95,77.5,80.59,,,
2023-01-31,467500.0,477500.0,45.5,48.45,,,,,
2023-02-01,467500.0,477500.0,45.5,48.45,78.56,79.75,,,
2023-02-02,462500.0,477500.0,45.5,48.45,78.56,79.75,,,
2023-02-03,462500.0,477500.0,45.3,48.25,78.56,79.75,,,
2023-02-06,462500.0,472500.0,45.1,48.05,78.56,79.75,,,
2023-02-07,462500.0,472500.0,45.1,48.05,78.56,79.75,,,
2023-02-08,462500.0,472500.0,44.8,48.05,78.56,79.75,,,
2023-02-09,458000.0,469500.0,44.8,48.05,78.56,79.75,,,
2023-02-10,458000.0,469500.0,44.8,48.05,78.56,79.75,,,
2023-02-13,453500.0,466500.0,44.3,47.7,78.56,79.75,,,
2023-02-14,453500.0,466500.0,44.0,47.5,78.56,79.75,,,
2023-02-15,453500.0,466500.0,43.8,47.3,78.56,79.75,,,
2023-02-16,443500.0,450000.0,43.6,47.1,78.56,79.75,,,
2023-02-17,443500.0,450000.0,43.1,46.6,78.56,79.75,,,
2023-02-20,425000.0,450000.0,42.6,46.1,78.56,79.75,,,
2023-02-21,425000.0,450000.0,41.9,45.1,78.56,79.75,,,
2023-02-22,425000.0,450000.0,41.2,44.4,78.56,79.75,,,
2023-02-23,400000.0,430000.0,40.25,43.9,78.56,79.75,,,
2023-02-24,400000.0,430000.0,39.95,43.6,71.66,76.9,,,
2023-02-27,390000.0,410000.0,39.25,43.1,71.66,76.9,,,
2023-02-28,390000.0,410000.0,38.65,42.9,70.55,76.15,,,
2023-03-01,390000.0,410000.0,37.65,42.3,66.5,73.25,,,
2023-03-02,370000.0,410000.0,36.65,41.8,68.25,75.62,,,
2023-03-03,370000.0,410000.0,36.25,41.6,65.1,74.91,,,
2023-03-06,365000.0,408000.0,35.0,41.6,65.1,74.24,,,
2023-03-07,365000.0,408000.0,34.5,41.1,65.1,74.24,,,
2023-03-08,365000.0,408000.0,34.2,41.0,65.1,74.24,,,
2023-03-09,345000.0,400000.0,33.4,40.7,64.8,73.96,,,
2023-03-10,345000.0,400000.0,32.9,40.4,65.06,73.96,,,
2023-03-13,320000.0,383000.0,31.9,40.2,65.06,73.71,,,
2023-03-14,320000.0,383000.0,31.4,40.0,64.61,73.26,,,
2023-03-15,320000.0,383000.0,30.7,39.5,65.06,73.26,,,
2023-03-16,310000.0,374000.0,30.0,39.0,64.88,73.08,,,
2023-03-17,310000.0,374000.0,29.0,38.5,64.5,73.08,,,
2023-03-20,290000.0,366000.0,28.0,38.2,60.95,72.78,,,
2023-03-21,290000.0,366000.0,27.0,38.0,60.69,71.51,,,
2023-03-22,290000.0,366000.0,26.5,37.8,59.98,71.06,,,
2023-03-23,280000.0,361500.0,25.8,37.6,59.98,71.06,,,
2023-03-24,280000.0,361500.0,25.6,37.5,59.3,70.46,,,
2023-03-27,260000.0,355000.0,25.3,37.3,59.11,70.35,,,
2023-03-28,260000.0,355000.0,25.0,36.8,59.11,70.13,,,
2023-03-29,260000.0,355000.0,24.5,36.3,57.11,69.71,,,
2023-03-30,245000.0,345000.0,23.8,35.6,57.6,69.85,,,
2023-03-31,245000.0,345000.0,23.5,34.8,56.98,68.28,,,
2023-04-03,237000.0,335000.0,22.5,33.8,55.18,61.31,,,
2023-04-04,237000.0,335000.0,21.5,32.8,53.08,60.44,,,
2023-04-05,,,21.5,32.8,48.13,58.58,,,
