"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY";"CODALY_BD";"CUDALY_BD";"LIDALY_BD";"NIDALY_BD"
"281";2018-12-25;24,948;2,699;12,229;4,8993;0;0;0;0
"282";2018-12-26;24,948;2,7085;12,229;4,8993;0;0;0;0
"283";2018-12-27;24,721;2,7148;12,229;4,8262;0;0;0;0
"284";2018-12-28;24,721;2,7284;12,229;4,8376;0;0;0;0
"285";2018-12-31;24,721;2,7052;12,232;4,8035;0;0;0;0
"286";2019-01-02;21,319;2,6481;12,229;4,7332;0;0;0;0
"287";2019-01-03;20,412;2,6356;12,229;4,858;0;0;0;0
"288";2019-01-07;19,504;2,641;12,229;5,0263;0;0;0;0
"289";2019-01-08;19,051;2,678;12,152;5,0122;0;0;0;0
"290";2019-01-09;18,144;2,7048;12,152;5,0802;0;0;0;0
"291";2019-01-10;18,144;2,6796;12,152;5,0893;0;0;0;0
"292";2019-01-11;18,144;2,688;12,075;5,1687;0;0;0;0
"293";2019-01-14;17,237;2,6581;12,075;5,1778;0;0;0;0
"294";2019-01-15;16,783;2,6676;11,922;5,1823;0;0;0;0
"295";2019-01-16;16,329;2,681;11,922;5,2503;0;0;0;0
"296";2019-01-17;16,329;2,6907;11,922;5,1914;0;0;0;0
"297";2019-01-18;16,329;2,7311;11,922;5,2639;0;0;0;0
"298";2019-01-21;16,329;2,6993;11,922;5,2912;0;0;0;0
"299";2019-01-22;15,422;2,688;11,922;5,2662;0;0;0;0
"300";2019-01-23;15,422;2,6853;11,922;5,2662;0;0;0;0
"301";2019-01-24;15,876;2,6689;11,922;5,2322;0;0;0;0
"302";2019-01-25;15,422;2,6762;11,922;5,3116;0;0;0;0
"303";2019-01-28;15,422;2,7195;11,922;5,3683;0;0;0;0
"304";2019-01-29;15,422;2,7243;11,922;5,3887;0;0;0;0
"305";2019-01-30;15,422;2,756;11,922;5,552;0;0;0;0
"306";2019-01-31;14,969;2,7878;11,922;5,6132;0;0;0;0
"307";2019-02-01;14,515;2,7656;11,922;5,6495;0;0;0;0
"308";2019-02-11;13,608;2,7885;11,922;5,6563;0;0;0;0
"309";2019-02-12;13,608;2,7669;11,922;5,6472;0;0;0;0
"310";2019-02-13;13,608;2,7755;11,922;5,5792;0;0;0;0
"311";2019-02-14;14,061;2,8023;11,922;5,5973;0;0;0;0
"312";2019-02-15;13,154;2,8068;11,922;5,4839;0;0;0;0
"313";2019-02-18;14,061;2,8451;11,922;5,6128;0;0;0;0
"314";2019-02-19;13,154;2,8331;12,075;5,6336;0;0;0;0
"315";2019-02-20;13,154;2,8808;12,075;5,7584;0;0;0;0
"316";2019-02-21;14,061;2,8985;12,075;5,7652;0;0;0;0
"317";2019-02-22;14,061;2,9431;12,075;5,8627;0;0;0;0
"318";2019-02-25;14,515;2,9688;12,075;5,8672;0;0;0;0
"319";2019-02-26;14,515;2,9347;12,075;5,8105;0;0;0;0
"320";2019-02-27;14,515;2,9629;12,075;5,84;0;0;0;0
"321";2019-02-28;14,969;2,9642;12,075;5,9103;0;0;0;0
"322";2019-03-01;14,515;2,9801;11,922;5,967;0;0;0;0
"323";2019-03-04;14,515;2,9118;11,922;5,967;0;0;0;0
"324";2019-03-05;14,515;2,9722;11,922;6,0985;0;0;0;0
"325";2019-03-06;14,969;2,9502;11,922;6,1711;0;0;0;0
"326";2019-03-07;15,876;2,9284;11,922;6,0645;0;0;0;0
"327";2019-03-08;14,969;2,9021;11,614;5,9126;0;0;0;0
"328";2019-03-11;14,515;2,9175;11,614;5,8876;0;0;0;0
"329";2019-03-12;14,515;2,9524;11,614;5,9557;0;0;0;0
"330";2019-03-13;14,515;2,9606;11,614;5,8695;0;0;0;0
"331";2019-03-14;14,061;2,9066;11,614;5,8604;0;0;0;0
"332";2019-03-15;13,608;2,9071;11,614;5,8219;0;0;0;0
"333";2019-03-18;13,608;2,9445;11,614;5,8083;0;0;0;0
"334";2019-03-19;14,061;2,9474;11,614;5,9375;0;0;0;0
"335";2019-03-20;13,608;2,9422;11,614;5,9829;0;0;0;0
"336";2019-03-21;13,608;2,9565;11,614;5,9602;0;0;0;0
"337";2019-03-22;13,608;2,8907;11,614;5,8604;0;0;0;0
"338";2019-03-25;13,608;2,8701;11,614;5,7878;0;0;0;0
"339";2019-03-26;13,608;2,8848;11,614;5,8264;0;0;0;0
"340";2019-03-27;13,608;2,8749;11,768;5,8899;0;0;0;0
"341";2019-03-28;13,608;2,8939;11,768;5,7946;0;0;0;0
"342";2019-03-29;13,608;2,9411;11,768;5,9012;0;0;0;0
"343";2019-04-01;13,608;2,947;11,768;5,9647;0;0;0;0
"344";2019-04-02;14,288;2,9166;11,768;5,9035;0;0;0;0
"345";2019-04-03;14,288;2,9397;11,768;5,9783;0;0;0;0
"346";2019-04-04;14,288;2,9225;11,768;5,9148;0;0;0;0
"347";2019-04-08;14,515;2,9175;11,768;5,9602;0;0;0;0
"348";2019-04-09;14,969;2,9472;11,768;5,967;0;0;0;0
"349";2019-04-10;14,969;2,9239;11,691;5,9466;0;0;0;0
