Date;Price
07. Jun 22;209.9
06. Jun 22;212.15
05. Jun 22;
04. Jun 22;
03. Jun 22;209.3
02. Jun 22;209.45
01. Jun 22;207.2
31-May-2022;205.8
30-May-2022;209.95
27-May-2022;209
26-May-2022;206.05
25-May-2022;210
24-May-2022;210
23-May-2022;210
22-May-2022;
21-May-2022;
20-May-2022;214.5
19-May-2022;205
18-May-2022;205
17-May-2022;208
16-May-2022;205.3
15-May-2022;
14-May-2022;
13-May-2022;207.1
12-May-2022;205.6
11-May-2022;210.95
10-May-2022;204.95
09-May-2022;206.8
08-May-2022;
07-May-2022;
06-May-2022;216.1
05-May-2022;220.3
04-May-2022;224.95
03-May-2022;224.8
02-May-2022;
01-May-2022;
30. Apr 22;
29. Apr 22;231.6
28. Apr 22;227.2
27. Apr 22;229.45
26. Apr 22;224.35
25. Apr 22;228
24. Apr 22;
23. Apr 22;
22. Apr 22;236.5
21. Apr 22;235.5
20. Apr 22;237.8
19. Apr 22;239
18. Apr 22;237.5
17. Apr 22;
16. Apr 22;
15. Apr 22;230
14. Apr 22;225.45
13. Apr 22;221.55
12. Apr 22;216.35
11. Apr 22;210.95
10. Apr 22;
09. Apr 22;
08. Apr 22;217.3
07. Apr 22;216.9
06. Apr 22;220.25
05. Apr 22;221.8
04. Apr 22;222.55
03. Apr 22;
02. Apr 22;
01. Apr 22;223
31-Mar-2022;219.95
30-Mar-2022;226.35
29-Mar-2022;219.9
28-Mar-2022;222.3
27-Mar-2022;
26-Mar-2022;
25-Mar-2022;260
24-Mar-2022;265
23-Mar-2022;249.6
22-Mar-2022;214.05
21-Mar-2022;205
20-Mar-2022;
19-Mar-2022;
18-Mar-2022;222.35
17-Mar-2022;224
16-Mar-2022;220.15
15-Mar-2022;227
14-Mar-2022;219.2
13-Mar-2022;
12-Mar-2022;
11-Mar-2022;217.95
10-Mar-2022;219.95
09-Mar-2022;
08-Mar-2022;235.55
07-Mar-2022;210.55
04-Mar-2022;189.35
03-Mar-2022;189.1
02-Mar-2022;180.35
01-Mar-2022;180.05
28. Feb 22;177.1
27. Feb 22;
26. Feb 22;
25. Feb 22;178.5
24. Feb 22;178.5
23. Feb 22;177
22. Feb 22;180
21. Feb 22;179
20. Feb 22;
19. Feb 22;
18. Feb 22;178.5
17. Feb 22;177.7
16. Feb 22;175.15
15. Feb 22;175.25
14. Feb 22;174.2
13. Feb 22;
12. Feb 22;
11. Feb 22;174.8
10. Feb 22;177.7
09. Feb 22;174.75
08. Feb 22;169
07. Feb 22;175.85
02. Feb 22;168.05
01. Feb 22;167.85
31. Jan 22;
30. Jan 22;
29. Jan 22;
28. Jan 22;165.4
27. Jan 22;166.05
26. Jan 22;166.8
25. Jan 22;163
24. Jan 22;171
23. Jan 22;
22. Jan 22;
21. Jan 22;180
20. Jan 22;182.25
19. Jan 22;170.4
18. Jan 22;163.5
17. Jan 22;164.15
16. Jan 22;
15. Jan 22;
14. Jan 22;163.6
13. Jan 22;163.55
12. Jan 22;162.75
11. Jan 22;158.9
10. Jan 22;153.35
09. Jan 22;
08. Jan 22;
07. Jan 22;152.35
06. Jan 22;149.25
05. Jan 22;151.4
04. Jan 22;153.9
03. Jan 22;
02. Jan 22;
01. Jan 22;
31-Dec-2021;151.55
30-Dec-2021;150.55
29-Dec-2021;148.8
28-Dec-2021;148.55
27-Dec-2021;149
26-Dec-2021;
25-Dec-2021;
24-Dec-2021;148.9
23-Dec-2021;146.6
22-Dec-2021;147.5
21-Dec-2021;143.55
20-Dec-2021;141.25
17-Dec-2021;146
16-Dec-2021;144.4
15-Dec-2021;140.45
14-Dec-2021;142.55
13-Dec-2021;144
12-Dec-2021;
11-Dec-2021;
10-Dec-2021;145.4
09-Dec-2021;145.9
08-Dec-2021;147.8
07-Dec-2021;148.3
06-Dec-2021;146.5
05-Dec-2021;
04-Dec-2021;
03-Dec-2021;148.5
02-Dec-2021;147.55
01-Dec-2021;147.55
30. Nov 21;148.85
29. Nov 21;147.95
28. Nov 21;
27. Nov 21;
26. Nov 21;147.2
25. Nov 21;154.5
24. Nov 21;157.15
23. Nov 21;149.5
22. Nov 21;147
21. Nov 21;
20. Nov 21;
19. Nov 21;147
18. Nov 21;142
17. Nov 21;142.05
16. Nov 21;142.95
15. Nov 21;145.7
14. Nov 21;
13. Nov 21;
12. Nov 21;147.4
11. Nov 21;145.5
10. Nov 21;145.1
09. Nov 21;143.05
08. Nov 21;144.6
07. Nov 21;
06. Nov 21;
05. Nov 21;143.8
04. Nov 21;140.4
03. Nov 21;142.65
02. Nov 21;144.85
01. Nov 21;144.8
31-Oct-2021;
30-Oct-2021;
29-Oct-2021;145.35
28-Oct-2021;145.9
27-Oct-2021;144.15
26-Oct-2021;149.35
25-Oct-2021;150
24-Oct-2021;
23-Oct-2021;
22-Oct-2021;148.6
21-Oct-2021;156.45
20-Oct-2021;153.2
19-Oct-2021;149.5
18-Oct-2021;151.7
17-Oct-2021;
16-Oct-2021;
15-Oct-2021;148.5
