Exchange Date;Trade Price
25. Feb 22;71 135,00
24. Feb 22;70 860,00
23. Feb 22;71 190,00
22. Feb 22;71 205,00
21. Feb 22;71 540,00
18. Feb 22;71 560,00
17. Feb 22;71 575,00
16. Feb 22;71 570,00
15. Feb 22;71 110,00
14. Feb 22;71 510,00
11. Feb 22;72 595,00
10. Feb 22;72 250,00
09. Feb 22;70 520,00
08. Feb 22;70 750,00
07. Feb 22;71 115,00
28. Jan 22;70 515,00
27. Jan 22;70 505,00
26. Jan 22;70 280,00
25. Jan 22;70 080,00
24. Jan 22;70 900,00
21. Jan 22;71 050,00
20. Jan 22;70 805,00
19. Jan 22;70 385,00
18. Jan 22;70 530,00
17. Jan 22;70 450,00
14. Jan 22;71 580,00
13. Jan 22;72 230,00
12. Jan 22;70 920,00
11. Jan 22;69 905,00
10. Jan 22;70 095,00
07. Jan 22;69 830,00
06. Jan 22;70 010,00
05. Jan 22;70 510,00
04. Jan 22;69 885,00
31-Dec-2021;69 950,00
30-Dec-2021;70 075,00
29-Dec-2021;70 160,00
28-Dec-2021;70 330,00
27-Dec-2021;69 700,00
24-Dec-2021;69 890,00
23-Dec-2021;69 915,00
22-Dec-2021;69 590,00
21-Dec-2021;69 425,00
20-Dec-2021;69 230,00
17-Dec-2021;69 575,00
16-Dec-2021;68 530,00
15-Dec-2021;68 910,00
14-Dec-2021;68 910,00
13-Dec-2021;69 630,00
10-Dec-2021;69 805,00
09-Dec-2021;70 015,00
08-Dec-2021;69 875,00
07-Dec-2021;69 825,00
06-Dec-2021;69 965,00
03-Dec-2021;69 975,00
02-Dec-2021;70 020,00
01-Dec-2021;70 375,00
30. Nov 21;70 840,00
29. Nov 21;71 225,00
26. Nov 21;71 810,00
25. Nov 21;72 500,00
24. Nov 21;71 925,00
23. Nov 21;72 560,00
22. Nov 21;72 190,00
19. Nov 21;72 550,00
18. Nov 21;70 450,00
17. Nov 21;71 055,00
16. Nov 21;71 855,00
15. Nov 21;71 550,00
12. Nov 21;71 525,00
11. Nov 21;70 810,00
10. Nov 21;70 650,00
09. Nov 21;71 230,00
08. Nov 21;70 995,00
05. Nov 21;70 330,00
04. Nov 21;71 330,00
03. Nov 21;70 960,00
02. Nov 21;71 300,00
01. Nov 21;71 190,00
29-Oct-2021;71 645,00
28-Oct-2021;70 815,00
27-Oct-2021;72 180,00
26-Oct-2021;72 710,00
25-Oct-2021;72 775,00
22-Oct-2021;73 210,00
21-Oct-2021;75 225,00
20-Oct-2021;73 485,00
19-Oct-2021;75 800,00
18-Oct-2021;75 980,00
15-Oct-2021;74 090,00
14-Oct-2021;72 200,00
13-Oct-2021;70 200,00
12-Oct-2021;70 415,00
11-Oct-2021;69 975,00
08-Oct-2021;70 010,00
30. Sep 21;68 770,00
29. Sep 21;68 945,00
28. Sep 21;69 535,00
27. Sep 21;70 115,00
24. Sep 21;69 400,00
23. Sep 21;69 130,00
22. Sep 21;69 140,00
17. Sep 21;69 930,00
16. Sep 21;70 660,00
15. Sep 21;69 890,00
14. Sep 21;70 565,00
13. Sep 21;71 520,00
10. Sep 21;70 025,00
09. Sep 21;68 780,00
08. Sep 21;69 295,00
07. Sep 21;69 625,00
06. Sep 21;69 780,00
03. Sep 21;69 525,00
02. Sep 21;69 455,00
01. Sep 21;69 965,00
31. Aug 21;70 345,00
30. Aug 21;70 115,00
27. Aug 21;69 190,00
26. Aug 21;69 350,00
25. Aug 21;69 625,00
24. Aug 21;68 975,00
23. Aug 21;68 290,00
20. Aug 21;67 205,00
19. Aug 21;67 730,00
18. Aug 21;69 215,00
17. Aug 21;70 030,00
16. Aug 21;70 355,00
13. Aug 21;70 245,00
12. Aug 21;70 355,00
11. Aug 21;70 030,00
10. Aug 21;69 560,00
09. Aug 21;69 620,00
06. Aug 21;69 785,00
05. Aug 21;69 700,00
04. Aug 21;70 280,00
03. Aug 21;71 045,00
02. Aug 21;71 750,00
30. Jul 21;71 875,00
29. Jul 21;71 805,00
28. Jul 21;72 420,00
27. Jul 21;72 715,00
26. Jul 21;71 265,00
23. Jul 21;70 090,00
22. Jul 21;69 015,00
21. Jul 21;68 650,00
20. Jul 21;68 390,00
19. Jul 21;69 250,00
16. Jul 21;69 715,00
15. Jul 21;68 855,00
14. Jul 21;68 805,00
13. Jul 21;69 390,00
12. Jul 21;69 515,00
09. Jul 21;68 730,00
08. Jul 21;68 895,00
07. Jul 21;68 525,00
06. Jul 21;69 715,00
05. Jul 21;68 675,00
02. Jul 21;68 040,00
01. Jul 21;68 680,00
30. Jun 21;68 390,00
29. Jun 21;68 165,00
28. Jun 21;68 315,00
25. Jun 21;68 875,00
24. Jun 21;68 650,00
23. Jun 21;68 240,00
22. Jun 21;67 210,00
21. Jun 21;66 875,00
18. Jun 21;67 790,00
17. Jun 21;69 190,00
16. Jun 21;69 315,00
15. Jun 21;69 995,00
11. Jun 21;70 745,00
10. Jun 21;71 310,00
09. Jun 21;71 770,00
08. Jun 21;71 360,00
07. Jun 21;71 565,00
04. Jun 21;71 055,00
03. Jun 21;72 940,00
02. Jun 21;73 660,00
01. Jun 21;73 815,00
31-May-2021;73 665,00
