Date;Close;Change;PCT;;;;;;
01-Nov-2018;57 750,00;--1 750,00;--2,94%;;;;;;
02-Nov-2018;57 750,00;0,00;0,00%;;;;;;
05-Nov-2018;53 000,00;--4 750,00;--8,23%;;;;;;
06-Nov-2018;55 000,00;2 000,00;3,77%;;;;;;
07-Nov-2018;55 000,00;0,00;0,00%;;;;;;
08-Nov-2018;55 000,00;0,00;0,00%;;;;;;
09-Nov-2018;51 000,00;--4 000,00;--7,27%;;;;;;
12-Nov-2018;55 000,00;4 000,00;7,84%;;;;;;
13-Nov-2018;55 000,00;0,00;0,00%;;;;;;
14-Nov-2018;55 000,00;0,00;0,00%;;;;;;
15-Nov-2018;55 000,00;0,00;0,00%;;;;;;
16-Nov-2018;55 000,00;0,00;0,00%;;;;;;
19-Nov-2018;55 000,00;0,00;0,00%;;;;;;
20-Nov-2018;55 000,00;0,00;0,00%;;;;;;
21-Nov-2018;55 000,00;0,00;0,00%;;;;;;
22-Nov-2018;55 000,00;0,00;0,00%;;;;;;
23-Nov-2018;55 000,00;0,00;0,00%;;;;;;
26-Nov-2018;55 000,00;0,00;0,00%;;;;;;
27-Nov-2018;55 000,00;0,00;0,00%;;;;;;
28-Nov-2018;55 000,00;0,00;0,00%;;;;;;
29-Nov-2018;55 000,00;0,00;0,00%;;;;;;
30-Nov-2018;55 000,00;0,00;0,00%;;;;;;
03-Dec-2018;55 000,00;0,00;0,00%;;;;;;
04-Dec-2018;55 000,00;0,00;0,00%;;;;;;
05-Dec-2018;55 000,00;0,00;0,00%;;;;;;
06-Dec-2018;55 000,00;0,00;0,00%;;;;;;
07-Dec-2018;55 000,00;0,00;0,00%;;;;;;
10-Dec-2018;55 000,00;0,00;0,00%;;;;;;
11-Dec-2018;55 000,00;0,00;0,00%;;;;;;
12-Dec-2018;55 000,00;0,00;0,00%;;;;;;
13-Dec-2018;55 000,00;0,00;0,00%;;;;;;
14-Dec-2018;55 000,00;0,00;0,00%;;;;;;
17-Dec-2018;58 000,00;3 000,00;5,45%;;;;;;
18-Dec-2018;57 000,00;--1 000,00;--1,72%;;;;;;
19-Dec-2018;55 000,00;--2 000,00;--3,51%;;;;;;
20-Dec-2018;55 000,00;0,00;0,00%;;;;;;
21-Dec-2018;55 000,00;0,00;0,00%;;;;;;
24-Dec-2018;55 000,00;0,00;0,00%;;;;;;
27-Dec-2018;55 000,00;0,00;0,00%;;;;;;
28-Dec-2018;55 000,00;0,00;0,00%;;;;;;
31-Dec-2018;55 000,00;0,00;0,00%;;;;;;
02-Jan-2019;47 000,00;--8 000,00;--14,55%;;;;;;
03-Jan-2019;47 000,00;0,00;0,00%;;;;;;
04-Jan-2019;45 000,00;--2 000,00;--4,26%;;;;;;
07-Jan-2019;44 000,00;--1 000,00;--2,22%;;;;;;
08-Jan-2019;44 000,00;0,00;0,00%;;;;;;
09-Jan-2019;44 000,00;0,00;0,00%;;;;;;
10-Jan-2019;45 000,00;1 000,00;2,27%;;;;;;
11-Jan-2019;42 000,00;--3 000,00;--6,67%;;;;;;
14-Jan-2019;40 000,00;--2 000,00;--4,76%;;;;;;
15-Jan-2019;45 000,00;5 000,00;12,50%;;;;;;
16-Jan-2019;40 000,00;--5 000,00;--11,11%;;;;;;
17-Jan-2019;40 000,00;0,00;0,00%;;;;;;
18-Jan-2019;38 000,00;--2 000,00;--5,00%;;;;;;
21-Jan-2019;38 000,00;0,00;0,00%;;;;;;
22-Jan-2019;38 000,00;0,00;0,00%;;;;;;
23-Jan-2019;38 000,00;0,00;0,00%;;;;;;
24-Jan-2019;38 000,00;0,00;0,00%;;;;;;
25-Jan-2019;38 000,00;0,00;0,00%;;;;;;
28-Jan-2019;38 000,00;0,00;0,00%;;;;;;
29-Jan-2019;36 500,00;--1 500,00;--3,95%;;;;;;
30-Jan-2019;36 000,00;--500,00;--1,37%;;;;;;
31-Jan-2019;34 000,00;--2 000,00;--5,56%;;;;;;
01-Feb-2019;34 000,00;0,00;0,00%;;;;;;
04-Feb-2019;34 000,00;0,00;0,00%;;;;;;
05-Feb-2019;33 000,00;--1 000,00;--2,94%;;;;;;
06-Feb-2019;33 000,00;0,00;0,00%;;;;;;
07-Feb-2019;33 000,00;0,00;0,00%;;;;;;
08-Feb-2019;33 000,00;0,00;0,00%;;;;;;
11-Feb-2019;32 000,00;--1 000,00;--3,03%;;;;;;
12-Feb-2019;32 000,00;0,00;0,00%;;;;;;
13-Feb-2019;32 000,00;0,00;0,00%;;;;;;
14-Feb-2019;31 000,00;--1 000,00;--3,13%;;;;;;
15-Feb-2019;31 000,00;0,00;0,00%;;;;;;
18-Feb-2019;31 000,00;0,00;0,00%;;;;;;
19-Feb-2019;31 000,00;0,00;0,00%;;;;;;
20-Feb-2019;31 000,00;0,00;0,00%;;;;;;
21-Feb-2019;31 000,00;0,00;0,00%;;;;;;
22-Feb-2019;31 000,00;0,00;0,00%;;;;;;
25-Feb-2019;32 000,00;1 000,00;3,23%;;;;;;
26-Feb-2019;32 000,00;0,00;0,00%;;;;;;
27-Feb-2019;32 000,00;0,00;0,00%;;;;;;
28-Feb-2019;33 000,00;1 000,00;3,13%;;;;;;
01-Mar-2019;33 000,00;0,00;0,00%;;;;;;
04-Mar-2019;33 000,00;0,00;0,00%;;;;;;
05-Mar-2019;33 000,00;0,00;0,00%;;;;;;
06-Mar-2019;33 000,00;0,00;0,00%;;;;;;
07-Mar-2019;35 000,00;2 000,00;6,06%;;;;;;
08-Mar-2019;33 000,00;--2 000,00;--5,71%;;;;;;
11-Mar-2019;32 000,00;--1 000,00;--3,03%;;;;;;
12-Mar-2019;32 000,00;0,00;0,00%;;;;;;
13-Mar-2019;32 000,00;0,00;0,00%;;;;;;
14-Mar-2019;31 000,00;--1 000,00;--3,13%;;;;;;
15-Mar-2019;30 000,00;--1 000,00;--3,23%;;;;;;
18-Mar-2019;30 000,00;0,00;0,00%;;;;;;
19-Mar-2019;31 000,00;1 000,00;3,33%;;;;;;
20-Mar-2019;30 000,00;--1 000,00;--3,23%;;;;;;
21-Mar-2019;30 000,00;0,00;0,00%;;;;;;
22-Mar-2019;30 000,00;0,00;0,00%;;;;;;
25-Mar-2019;30 000,00;0,00;0,00%;;;;;;
26-Mar-2019;30 000,00;0,00;0,00%;;;;;;
27-Mar-2019;30 000,00;0,00;0,00%;;;;;;
28-Mar-2019;30 000,00;0,00;0,00%;;;;;;
29-Mar-2019;30 000,00;0,00;0,00%;;;;;;
01-Apr-2019;30 000,00;0,00;0,00%;;;;;;
02-Apr-2019;31 500,00;1 500,00;5,00%;;;;;;
03-Apr-2019;31 500,00;0,00;0,00%;;;;;;
04-Apr-2019;31 500,00;0,00;0,00%;;;;;;
05-Apr-2019;32 000,00;500,00;1,59%;;;;;;
08-Apr-2019;32 000,00;0,00;0,00%;;;;;;
09-Apr-2019;33 000,00;1 000,00;3,13%;;;;;;
10-Apr-2019;33 000,00;0,00;0,00%;;;;;;
11-Apr-2019;34 500,00;1 500,00;4,55%;;;;;;
12-Apr-2019;34 500,00;0,00;0,00%;;;;;;
15-Apr-2019;35 000,00;500,00;1,45%;;;;;;
16-Apr-2019;34 500,00;--500,00;--1,43%;;;;;;
17-Apr-2019;35 000,00;500,00;1,45%;;;;;;
18-Apr-2019;35 000,00;0,00;0,00%;;;;;;
23-Apr-2019;34 500,00;--500,00;--1,43%;;;;;;
24-Apr-2019;34 500,00;0,00;0,00%;;;;;;
25-Apr-2019;34 500,00;0,00;0,00%;;;;;;
26-Apr-2019;34 500,00;0,00;0,00%;;;;;;
29-Apr-2019;34 500,00;0,00;0,00%;;;;;;
30-Apr-2019;34 500,00;0,00;0,00%;;;;;;
01-May-2019;34 500,00;0,00;0,00%;;;;;;
02-May-2019;34 500,00;0,00;0,00%;;;;;;
03-May-2019;34 500,00;0,00;0,00%;;;;;;
07-May-2019;34 500,00;0,00;0,00%;;;;;;
08-May-2019;34 500,00;0,00;0,00%;;;;;;
09-May-2019;34 500,00;0,00;0,00%;;;;;;
10-May-2019;34 500,00;0,00;0,00%;;;;;;
13-May-2019;34 500,00;0,00;0,00%;;;;;;
14-May-2019;34 500,00;0,00;0,00%;;;;;;
15-May-2019;34 500,00;0,00;0,00%;;;;;;
