Date;Price
09. Feb 22;498
08. Feb 22;496.5
07. Feb 22;494
02. Feb 22;493
01. Feb 22;491
31. Jan 22;
30. Jan 22;
29. Jan 22;
28. Jan 22;489
27. Jan 22;490.5
26. Jan 22;490
25. Jan 22;492.5
24. Jan 22;495
23. Jan 22;
22. Jan 22;
21. Jan 22;499
20. Jan 22;495.5
19. Jan 22;489
18. Jan 22;491.5
17. Jan 22;486
16. Jan 22;
15. Jan 22;
14. Jan 22;492.5
13. Jan 22;492
12. Jan 22;493
11. Jan 22;488
10. Jan 22;489.5
09. Jan 22;
08. Jan 22;
07. Jan 22;493
06. Jan 22;492.5
05. Jan 22;495
04. Jan 22;497.5
03. Jan 22;
02. Jan 22;
01. Jan 22;
31-Dec-2021;495
30-Dec-2021;486.5
29-Dec-2021;481
28-Dec-2021;479.5
27-Dec-2021;476.5
26-Dec-2021;
25-Dec-2021;
24-Dec-2021;479
23-Dec-2021;480.5
22-Dec-2021;481.5
21-Dec-2021;482.5
20-Dec-2021;481
17-Dec-2021;482
16-Dec-2021;476
15-Dec-2021;475
14-Dec-2021;486.5
13-Dec-2021;486
12-Dec-2021;
11-Dec-2021;
10-Dec-2021;481
09-Dec-2021;476
08-Dec-2021;477
07-Dec-2021;464
06-Dec-2021;460
05-Dec-2021;
04-Dec-2021;
03-Dec-2021;454
02-Dec-2021;450.5
01-Dec-2021;449.5
30. Nov 21;447
29. Nov 21;445.5
28. Nov 21;
27. Nov 21;
26. Nov 21;446
25. Nov 21;439
24. Nov 21;425.5
23. Nov 21;423
22. Nov 21;419.5
21. Nov 21;
20. Nov 21;
19. Nov 21;412.5
18. Nov 21;415
17. Nov 21;410.5
16. Nov 21;415
15. Nov 21;418.5
14. Nov 21;
13. Nov 21;
12. Nov 21;420.5
11. Nov 21;419.5
10. Nov 21;418.5
09. Nov 21;418.5
08. Nov 21;412
07. Nov 21;
06. Nov 21;
05. Nov 21;412
04. Nov 21;404.5
03. Nov 21;408
02. Nov 21;408.5
01. Nov 21;403.5
31-Oct-2021;
30-Oct-2021;
29-Oct-2021;396.5
28-Oct-2021;392
27-Oct-2021;392
26-Oct-2021;388
25-Oct-2021;384
24-Oct-2021;
23-Oct-2021;
22-Oct-2021;390
21-Oct-2021;390.5
20-Oct-2021;393
19-Oct-2021;391.5
18-Oct-2021;392
17-Oct-2021;
16-Oct-2021;
15-Oct-2021;391.5
14-Oct-2021;390
13-Oct-2021;387
12-Oct-2021;385.5
11-Oct-2021;385.5
10-Oct-2021;
09-Oct-2021;
08-Oct-2021;374
07-Oct-2021;371.5
06-Oct-2021;370.5
05-Oct-2021;367.5
04-Oct-2021;368.5
03-Oct-2021;
02-Oct-2021;
01-Oct-2021;370
30. Sep 21;370
29. Sep 21;371
28. Sep 21;369
27. Sep 21;370
26. Sep 21;
25. Sep 21;
24. Sep 21;366.5
23. Sep 21;368
22. Sep 21;365.5
21. Sep 21;365
20. Sep 21;360
19. Sep 21;
18. Sep 21;
17. Sep 21;357.5
16. Sep 21;354.5
15. Sep 21;355.5
14. Sep 21;365
13. Sep 21;364.5
12. Sep 21;
11. Sep 21;
10. Sep 21;371
09. Sep 21;364.5
08. Sep 21;365
07. Sep 21;364
06. Sep 21;364.5
05. Sep 21;
