Exchange Date;Close
06. Jul 21;291
05. Jul 21;291
02. Jul 21;291
01. Jul 21;291
30. Jun 21;291
29. Jun 21;291
28. Jun 21;291
25. Jun 21;291
24. Jun 21;291
23. Jun 21;297
22. Jun 21;297
21. Jun 21;297
18. Jun 21;297
17. Jun 21;297
16. Jun 21;297
15. Jun 21;297
14. Jun 21;297
11. Jun 21;297
10. Jun 21;297
09. Jun 21;297
08. Jun 21;297
07. Jun 21;297
04. Jun 21;297
03. Jun 21;297
02. Jun 21;297
01. Jun 21;297
28-May-2021;297
27-May-2021;292
26-May-2021;292
25-May-2021;292
24-May-2021;292
21-May-2021;292
20-May-2021;292
19-May-2021;292
18-May-2021;298
17-May-2021;298
14-May-2021;293
13-May-2021;293
12-May-2021;293
11-May-2021;293
10-May-2021;293
07-May-2021;293
06-May-2021;293
05-May-2021;294
04-May-2021;294
30. Apr 21;294
29. Apr 21;294
28. Apr 21;294
27. Apr 21;294
26. Apr 21;294
23. Apr 21;294
22. Apr 21;294
21. Apr 21;294
20. Apr 21;294
19. Apr 21;294
16. Apr 21;294
15. Apr 21;294
14. Apr 21;294
13. Apr 21;294
12. Apr 21;294
09. Apr 21;294
08. Apr 21;294
07. Apr 21;294
06. Apr 21;294
01. Apr 21;294
31-Mar-2021;294
30-Mar-2021;294
29-Mar-2021;294
26-Mar-2021;317
25-Mar-2021;317
24-Mar-2021;317
23-Mar-2021;317
22-Mar-2021;317
19-Mar-2021;317
18-Mar-2021;317
17-Mar-2021;317
16-Mar-2021;317
15-Mar-2021;317
12-Mar-2021;317
11-Mar-2021;317
10-Mar-2021;317
09-Mar-2021;327
08-Mar-2021;327
05-Mar-2021;327
04-Mar-2021;327
03-Mar-2021;327
02-Mar-2021;327
01-Mar-2021;327
26. Feb 21;327
25. Feb 21;327
24. Feb 21;327
23. Feb 21;327
22. Feb 21;327
19. Feb 21;327
18. Feb 21;327
17. Feb 21;327
16. Feb 21;327
15. Feb 21;327
12. Feb 21;327
11. Feb 21;327
10. Feb 21;357
09. Feb 21;360
08. Feb 21;360
05. Feb 21;360
04. Feb 21;384
03. Feb 21;424
02. Feb 21;424
01. Feb 21;424
29. Jan 21;426
28. Jan 21;426
27. Jan 21;426
26. Jan 21;426
25. Jan 21;426
22. Jan 21;427
21. Jan 21;427
20. Jan 21;427
19. Jan 21;427
18. Jan 21;427
15. Jan 21;440
14. Jan 21;440
13. Jan 21;440
12. Jan 21;440
11. Jan 21;440
08. Jan 21;440
07. Jan 21;440
06. Jan 21;440
