Metal,Variant,Model,BubDays,AUC,F1,Sens,Prec,Spec,Detected,EpDet,Note
Nickel,lppls_0.10,CatBoost,123,0.499,0.24,0.872,0.139,0.18,82/94,18/20,
Nickel,lppls_0.10_period,LASSO,140,0.532,0.275,1.0,0.159,0.086,105/105,10/10,
Nickel,lppls_0.10_period,RF,140,0.419,0.266,1.0,0.154,0.048,105/105,10/10,
Nickel,lppls_0.10_period,XGBoost,140,0.432,0.277,0.981,0.161,0.119,103/105,10/10,
Nickel,lppls_0.10_period,LightGBM,140,0.477,0.278,0.933,0.163,0.173,98/105,10/10,
Nickel,lppls_0.10_period,CatBoost,140,0.411,0.274,0.99,0.159,0.092,104/105,10/10,
Nickel,lppls_0.05,LASSO,129,0.549,0.264,0.694,0.163,0.43,68/98,17/19,
Nickel,lppls_0.05,RF,129,0.507,0.246,1.0,0.14,0.021,98/98,19/19,
Nickel,lppls_0.05,XGBoost,129,0.424,0.255,0.959,0.147,0.114,94/98,18/19,
Nickel,lppls_0.05,LightGBM,129,0.454,0.249,0.99,0.143,0.05,97/98,19/19,
Nickel,lppls_0.05,CatBoost,129,0.467,0.248,0.98,0.142,0.055,96/98,19/19,
Nickel,lppls_0.05_period,LASSO,193,0.501,0.346,1.0,0.209,0.092,138/138,7/7,
Nickel,lppls_0.05_period,RF,193,0.427,0.335,0.993,0.202,0.056,137/138,7/7,
Nickel,lppls_0.05_period,XGBoost,193,0.399,0.341,0.913,0.209,0.171,126/138,7/7,
Nickel,lppls_0.05_period,LightGBM,193,0.41,0.345,0.949,0.211,0.145,131/138,7/7,
Nickel,lppls_0.05_period,CatBoost,193,0.352,0.345,1.0,0.209,0.089,138/138,7/7,
Nickel,lppls_0.01,LASSO,129,0.549,0.264,0.694,0.163,0.43,68/98,17/19,
Nickel,lppls_0.01,RF,129,0.507,0.246,1.0,0.14,0.021,98/98,19/19,
Nickel,lppls_0.01,XGBoost,129,0.424,0.255,0.959,0.147,0.114,94/98,18/19,
Nickel,lppls_0.01,LightGBM,129,0.454,0.249,0.99,0.143,0.05,97/98,19/19,
Nickel,lppls_0.01,CatBoost,129,0.467,0.248,0.98,0.142,0.055,96/98,19/19,
Nickel,lppls_0.01_period,LASSO,203,0.481,0.361,1.0,0.221,0.088,146/146,8/8,
Nickel,lppls_0.01_period,RF,203,0.437,0.352,1.0,0.214,0.051,146/146,8/8,
Nickel,lppls_0.01_period,XGBoost,203,0.421,0.357,0.966,0.219,0.11,141/146,7/8,
Nickel,lppls_0.01_period,LightGBM,203,0.411,0.352,0.932,0.217,0.133,136/146,7/8,
Nickel,lppls_0.01_period,CatBoost,203,0.386,0.346,0.993,0.209,0.032,145/146,8/8,
